"no","district","landid","eligible","voters","cducsu1","cducsu2","spd1","spd2","fdp1","fdp2","dielink1","dielinke2","greens1","greens2","pirates1","pirates2","afd1","afd2","turnout","area","population","popdensity","pop18_25","pop25_35","pop35_60","pop60_75","pop75_","abitur","localbusinesstax","unemployment","socialbenefits","land","east"
177,"Wetterau I",6,175085,131480,45.7240644965014,39.8684210526316,31.0351384240949,26.5721022208701,2.68253726802556,5.76969881350776,4.69577121995741,5.03118344995437,7.22315181016124,9.1200182537268,2.17751749315485,1.92804989351993,NA,5.7864313964101,75.0949538795442,745.9,235.5,314.9,7.5,10.7,38.4,17,9.4,41.1,314.9,4.9,47.5,"Hesse",FALSE
178,"Rheingau-Taunus - Limburg",6,220668,165788,50.962072043815,44.393442227423,28.4411416990373,24.5602818056795,2.247448548749,6.11564166284653,3.80003377807803,4.39718194320457,5.50039809877675,8.41737640842522,1.73052331893744,1.73957101840905,4.16978309648467,5.71151108644775,75.1300596371019,1171.3,292.4,249.2,7.5,10.2,38,17.7,9.5,34,328.3,4.7,48,"Hesse",FALSE
179,"Wiesbaden",6,189698,132335,42.6689840178335,37.9242075036838,34.2396191483734,27.2346695885442,2.49064873238372,6.65054596289719,4.60724676011637,5.79438546114029,7.39335776627498,11.4353723504742,1.68058336796766,1.91257037065024,3.91128575206861,4.94955982922129,69.7608830878554,203.9,280.1,1367.7,7.8,13.8,36.7,16,9,38.7,695,7.2,107.4,"Hesse",FALSE
180,"Hanau",6,177413,128280,42.8125974430932,38.0636108512629,35.2229497973184,27.7907701902089,2.37995010913626,5.15357031493608,5.51060180854381,5.94792641097599,5.62597443093234,8.71764889304646,2.32694106641721,1.98705955721858,NA,5.73433115060805,72.3058625918056,346.2,251.2,721.4,7.7,11.4,37.5,17.7,8.9,28.1,534.1,4.9,55.9,"Hesse",FALSE
181,"Main-Taunus",6,196605,155145,51.1476360823745,42.9262947565181,26.3798382158626,22.0155338554256,4.17158142382932,8.44371394501917,4.09616810080892,4.12904057494602,8.02668471429953,9.70511457024074,2.4035579619066,1.78736021141513,NA,6.7485255728512,78.9120317387655,270.5,273.8,1007.3,6.5,10.6,37.7,17.8,9.7,39.8,1053.3,4.2,40.7,"Hesse",FALSE
182,"Frankfurt am Main I",6,195615,133575,39.2491109863373,32.8527044731424,32.2844843720756,26.2818641212802,3.08815272318922,6.89425416432716,7.69605090772974,8.74714579824069,9.63877971177241,13.0248923825566,2.29533969679955,2.33352049410444,NA,5.22777465843159,68.2846407484089,85,346.3,4024,7.4,17,37.7,14.5,7.8,41.7,1724.4,7.2,99.2,"Hesse",FALSE
183,"Frankfurt am Main II",6,219357,159914,35.6466600797929,33.2666308140626,29.9248345985967,25.8639018472429,3.39807646610053,6.86556524131721,5.97008392010706,7.99054491789337,13.2471203271759,15.1112472954213,1.78721062571132,2.1424015408282,3.22360768913291,4.79570269019598,72.9012522964847,163.3,354,2140.1,7.4,17,37.7,14.5,7.8,41.7,1724.4,7.2,99.2,"Hesse",FALSE
184,"Groß-Gerau",6,174002,127383,40.8900716736142,35.6319132066288,36.8510711790427,29.6593736997873,1.95394989912312,4.52336654027618,6.00158576890166,6.0392674061688,7.45939411067411,10.3067128266723,3.64177323504706,2.34646695398915,NA,5.44735168743082,73.2077792209285,453.1,259,567.6,8,12.6,37,16.6,8.5,31.7,527.7,5.8,77.2,"Hesse",FALSE
185,"Offenbach",6,221650,158240,44.1923660262892,37.857052578362,30.3235591506572,25.4063447927199,2.76541961577351,6.21587462082912,5.99026794742164,6.44906471183013,7.92972699696663,10.4290950455005,2.38877654196158,2.29208796764408,NA,5.68377148634985,71.3918339724791,241.4,353.6,1450.2,7.9,13.2,36.4,16.6,8.8,36,536.1,6.9,95.4,"Hesse",FALSE
186,"Darmstadt",6,240017,180790,35.0666519165883,34.1152718623818,36.4068809115548,27.8864981470214,2.3817689031473,4.94772940981249,5.03954864760219,6.56341611814813,11.451960838542,13.9106145251397,2.78389291443111,3.04662868521489,3.75518557442336,5.07163006803474,75.3238312286213,449.3,334.9,741.4,8.9,13.4,36.9,15.9,8.5,45.7,414.8,5.2,65.1,"Hesse",FALSE
